,0
40,(V0[i] & ~V1[i]) | (V1[i] & ~V0[i]) | (V0[i-1] & ~DL[i+1] & ~V1[i-1]) | (V1[i-1] & ~DL[i+1] & ~V0[i-1]) | (DL[i-1] & DL[i] & V0[i+1] & V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1]) | (DL[i-1] & DL[i] & V0[i+1] & ~DL[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i+1])
41,(DL[i-1] & V1[i+1] & ~DL[i+1] & ~V0[i-1] & ~V1[i-1]) | (V0[i+1] & V1[i+1] & ~DL[i+1] & ~V0[i-1] & ~V1[i-1]) | (V0[i+1] & V1[i] & ~DL[i+1] & ~V0[i-1] & ~V1[i-1]) | (V0[i] & V1[i+1] & ~DL[i+1] & ~V0[i-1] & ~V1[i-1]) | (V1[i+1] & V1[i] & ~DL[i+1] & ~V0[i-1] & ~V1[i-1]) | (V0[i+1] & ~DL[i+1] & ~DL[i] & ~V0[i-1] & ~V1[i-1]) | (V1[i+1] & ~DL[i+1] & ~DL[i] & ~V0[i-1] & ~V1[i-1]) | (V0[i+1] & V0[i] & V1[i+1] & ~DL[i+1] & ~DL[i-1] & ~V0[i-1]) | (V0[i+1] & V0[i] & V1[i+1] & ~DL[i+1] & ~DL[i-1] & ~V1[i-1]) | (V0[i+1] & V1[i+1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V1[i-1]) | (DL[i] & V0[i+1] & V0[i] & V1[i+1] & ~DL[i+1] & ~DL[i-1] & ~V1[i]) | (DL[i] & V0[i+1] & V1[i+1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i-1]) | (V0[i+1] & V0[i] & V1[i+1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~DL[i]) | (DL[i] & V0[i+1] & V0[i] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (V0[i+1] & V0[i] & V1[i] & ~DL[i] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1])
42,(DL[i+1] & V0[i+1] & V1[i+1] & ~DL[i-1]) | (DL[i+1] & V0[i+1] & V1[i+1] & ~V0[i]) | (DL[i+1] & V0[i+1] & V1[i+1] & ~V1[i]) | (DL[i+1] & V0[i+1] & V0[i-1] & V1[i+1] & V1[i-1]) | (V0[i+1] & V0[i-1] & V1[i+1] & V1[i-1] & ~V1[i]) | (DL[i+1] & V0[i+1] & V1[i+1] & ~V0[i-1] & ~V1[i-1]) | (V0[i+1] & V0[i-1] & V1[i-1] & ~DL[i] & ~V0[i]) | (V0[i+1] & V1[i+1] & ~V0[i-1] & ~V1[i-1] & ~V1[i]) | (DL[i-1] & V0[i-1] & V1[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i]) | (DL[i] & V0[i+1] & V1[i+1] & V1[i] & ~DL[i-1] & ~V0[i]) | (DL[i] & V0[i-1] & V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i]) | (DL[i] & V0[i-1] & V1[i-1] & V1[i] & ~V0[i] & ~V1[i+1]) | (DL[i+1] & V0[i-1] & V1[i-1] & ~DL[i] & ~V0[i+1] & ~V1[i+1]) | (DL[i+1] & V0[i-1] & V1[i-1] & ~V0[i+1] & ~V1[i+1] & ~V1[i]) | (V0[i-1] & V1[i+1] & V1[i-1] & ~DL[i+1] & ~DL[i] & ~V0[i]) | (DL[i+1] & V1[i] & ~DL[i-1] & ~V0[i+1] & ~V0[i] & ~V1[i+1]) | (DL[i+1] & V1[i] & ~V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1]) | (DL[i] & V1[i] & ~DL[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1]) | (V0[i+1] & V1[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i] & ~V1[i]) | (DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i+1] & ~V0[i] & ~V1[i+1]) | (DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (V0[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i-1] & ~V0[i] & ~V1[i-1]) | (V0[i+1] & ~DL[i] & ~V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (V1[i+1] & ~DL[i+1] & ~DL[i] & ~V0[i-1] & ~V0[i] & ~V1[i-1]) | (DL[i+1] & DL[i] & V1[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i+1]) | (DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1])
43,(DL[i+1] & DL[i] & V0[i+1] & V0[i] & V1[i+1] & ~V1[i]) | (DL[i+1] & DL[i] & V0[i] & V1[i-1] & ~V0[i-1] & ~V1[i]) | (DL[i+1] & V0[i-1] & V0[i] & V1[i+1] & ~V1[i-1] & ~V1[i]) | (DL[i+1] & V0[i-1] & V1[i+1] & V1[i] & ~V0[i] & ~V1[i-1]) | (DL[i+1] & V0[i] & V1[i+1] & V1[i-1] & ~V0[i-1] & ~V1[i]) | (DL[i+1] & V1[i+1] & V1[i-1] & V1[i] & ~V0[i-1] & ~V0[i]) | (DL[i+1] & V0[i-1] & V0[i] & ~V0[i+1] & ~V1[i-1] & ~V1[i]) | (DL[i+1] & V0[i-1] & V1[i] & ~V0[i+1] & ~V0[i] & ~V1[i-1]) | (DL[i+1] & V0[i] & V1[i-1] & ~V0[i+1] & ~V0[i-1] & ~V1[i]) | (DL[i+1] & V1[i-1] & V1[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i]) | (DL[i+1] & DL[i-1] & DL[i] & V0[i-1] & V0[i] & ~V1[i-1] & ~V1[i]) | (DL[i-1] & DL[i] & V0[i-1] & V0[i] & V1[i+1] & ~V0[i+1] & ~V1[i-1] & ~V1[i]) | (DL[i-1] & DL[i] & V0[i] & V1[i+1] & V1[i-1] & ~V0[i+1] & ~V0[i-1] & ~V1[i])
44,(DL[i+1] & V0[i+1] & V0[i-1] & V0[i] & V1[i+1] & V1[i] & ~V1[i-1]) | (DL[i+1] & V0[i+1] & V0[i] & V1[i+1] & V1[i-1] & V1[i] & ~V0[i-1]) | (DL[i+1] & DL[i-1] & V0[i+1] & V0[i-1] & V1[i+1] & ~DL[i] & ~V1[i-1]) | (DL[i+1] & V0[i+1] & V0[i-1] & V1[i+1] & ~DL[i] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (DL[i+1] & DL[i-1] & V0[i+1] & V1[i+1] & V1[i-1] & ~DL[i] & ~V0[i-1] & ~V0[i] & ~V1[i])
45,(V0[i] & V1[i]) | (~V0[i] & ~V1[i]) | (V1[i+1] & ~DL[i+1] & ~V0[i+1]) | (V1[i+1] & ~V0[i+1] & ~V1[i]) | (V0[i+1] & ~DL[i+1] & ~V1[i+1] & ~V1[i]) | (DL[i-1] & DL[i] & V0[i+1] & ~V1[i+1] & ~V1[i]) | (DL[i] & V0[i+1] & V0[i-1] & V1[i-1] & ~V1[i+1] & ~V1[i])
46,(~DL[i+1] & ~V0[i] & ~V1[i]) | (V0[i+1] & V1[i+1] & ~V0[i] & ~V1[i]) | (V0[i-1] & V1[i-1] & ~V0[i] & ~V1[i]) | (V0[i+1] & V0[i-1] & V1[i+1] & V1[i-1] & ~DL[i+1]) | (V0[i+1] & V0[i] & V1[i+1] & V1[i] & ~DL[i+1]) | (V0[i-1] & V0[i] & V1[i-1] & V1[i] & ~DL[i+1]) | (V0[i+1] & V0[i-1] & V0[i] & V1[i+1] & V1[i-1] & V1[i]) | (V0[i+1] & V0[i] & V1[i] & ~DL[i+1] & ~DL[i-1]) | (V0[i+1] & V0[i] & V1[i] & ~DL[i+1] & ~V0[i-1]) | (V0[i-1] & V1[i+1] & V1[i-1] & ~DL[i+1] & ~DL[i]) | (V0[i] & V1[i+1] & V1[i] & ~DL[i+1] & ~DL[i-1]) | (V0[i] & V1[i+1] & V1[i] & ~DL[i+1] & ~V0[i-1]) | (~V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (V0[i+1] & V1[i+1] & ~DL[i+1] & ~DL[i-1] & ~DL[i]) | (V0[i+1] & V1[i+1] & ~DL[i+1] & ~V0[i-1] & ~V1[i-1]) | (V0[i] & V1[i] & ~DL[i+1] & ~V0[i-1] & ~V1[i-1]) | (DL[i-1] & V0[i+1] & V0[i-1] & V1[i-1] & ~DL[i+1] & ~DL[i]) | (DL[i-1] & V0[i+1] & V0[i-1] & V1[i-1] & ~DL[i+1] & ~V0[i]) | (DL[i-1] & V0[i-1] & V1[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i]) | (V0[i+1] & V0[i] & V1[i+1] & V1[i] & ~V0[i-1] & ~V1[i-1]) | (V0[i+1] & ~DL[i+1] & ~DL[i] & ~V0[i-1] & ~V1[i-1]) | (V0[i+1] & ~DL[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1]) | (V1[i+1] & ~DL[i+1] & ~DL[i] & ~V0[i-1] & ~V1[i-1]) | (V1[i+1] & ~DL[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1]) | (DL[i] & V1[i+1] & ~DL[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i]) | (V0[i+1] & V1[i+1] & ~DL[i+1] & ~DL[i-1] & ~V0[i-1] & ~V0[i])
47,(DL[i] & V0[i]) | (DL[i] & ~V1[i]) | (DL[i+1] & V0[i] & V1[i-1]) | (DL[i+1] & V0[i-1] & ~V1[i-1]) | (DL[i+1] & V1[i-1] & ~V1[i]) | (DL[i+1] & V0[i+1] & V0[i-1] & ~V1[i+1]) | (V0[i+1] & V0[i-1] & V0[i] & ~V1[i-1]) | (DL[i+1] & V0[i+1] & ~V1[i+1] & ~V1[i]) | (DL[i-1] & V0[i-1] & ~V1[i-1] & ~V1[i]) | (V0[i+1] & V0[i-1] & ~V1[i-1] & ~V1[i]) | (V0[i-1] & V0[i] & ~V1[i+1] & ~V1[i-1]) | (DL[i+1] & DL[i-1] & V0[i+1] & V1[i-1] & ~V1[i+1]) | (V0[i-1] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (DL[i-1] & V0[i+1] & V0[i-1] & ~DL[i] & ~V1[i-1]) | (DL[i-1] & V0[i+1] & V0[i-1] & ~V1[i+1] & ~V1[i-1])
48,(V0[i-1] & V1[i-1] & ~DL[i+1] & ~V0[i] & ~V1[i]) | (V0[i+1] & V0[i-1] & V1[i-1] & ~DL[i+1] & ~DL[i] & ~V0[i] & ~V1[i+1]) | (V0[i+1] & V0[i-1] & V1[i-1] & ~DL[i+1] & ~DL[i] & ~V1[i+1] & ~V1[i]) | (V0[i+1] & V0[i-1] & V1[i-1] & ~DL[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i]) | (V0[i-1] & V1[i-1] & ~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i] & ~V1[i+1]) | (V0[i-1] & V1[i-1] & ~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V1[i+1] & ~V1[i])
49,(DL[i+1] & V0[i+1] & V1[i+1]) | (V0[i+1] & V0[i] & V1[i+1] & V1[i]) | (V0[i+1] & V0[i-1] & V1[i+1] & ~V1[i-1]) | (V0[i+1] & V1[i+1] & V1[i-1] & ~V0[i-1]) | (DL[i+1] & V0[i] & V1[i] & ~V0[i+1] & ~V1[i+1]) | (V0[i-1] & V0[i] & V1[i] & ~DL[i+1] & ~V1[i-1]) | (V0[i] & V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i-1]) | (DL[i+1] & V0[i-1] & ~V0[i+1] & ~V1[i+1] & ~V1[i-1]) | (DL[i+1] & V1[i-1] & ~V0[i+1] & ~V0[i-1] & ~V1[i+1]) | (DL[i-1] & V0[i-1] & V0[i] & V1[i+1] & ~DL[i+1] & ~V1[i-1]) | (DL[i-1] & V0[i-1] & V1[i+1] & V1[i] & ~DL[i+1] & ~V1[i-1]) | (DL[i-1] & V0[i-1] & V1[i+1] & ~DL[i+1] & ~DL[i] & ~V1[i-1]) | (V0[i] & V1[i+1] & V1[i-1] & ~DL[i+1] & ~DL[i-1] & ~V0[i-1]) | (V0[i] & V1[i+1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~DL[i]) | (V0[i] & V1[i-1] & V1[i] & ~DL[i] & ~V0[i-1] & ~V1[i+1]) | (V1[i+1] & V1[i-1] & ~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i-1]) | (V1[i+1] & V1[i-1] & ~DL[i+1] & ~DL[i] & ~V0[i-1] & ~V1[i]) | (DL[i-1] & V0[i-1] & V0[i] & V1[i] & ~DL[i] & ~V1[i+1] & ~V1[i-1])
50,(DL[i] & V0[i-1] & V1[i-1]) | (DL[i] & ~DL[i+1] & ~V0[i-1]) | (DL[i] & ~DL[i-1] & ~V0[i-1]) | (DL[i] & ~V0[i-1] & ~V1[i-1]) | (V0[i-1] & V0[i] & V1[i-1] & ~DL[i+1]) | (DL[i] & V0[i+1] & ~DL[i+1] & ~V1[i+1]) | (DL[i] & V0[i+1] & ~V0[i-1] & ~V1[i+1]) | (DL[i] & V0[i] & ~DL[i+1] & ~V1[i]) | (DL[i] & V0[i] & ~DL[i-1] & ~V1[i]) | (DL[i] & V0[i] & ~V0[i-1] & ~V1[i]) | (V0[i-1] & V1[i-1] & ~DL[i+1] & ~V1[i]) | (DL[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i+1]) | (DL[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i]) | (V0[i] & ~DL[i+1] & ~V0[i-1] & ~V1[i-1]) | (DL[i] & V0[i+1] & V0[i] & ~V1[i+1] & ~V1[i]) | (V0[i+1] & V0[i-1] & V1[i-1] & ~DL[i+1] & ~V1[i+1]) | (~DL[i+1] & ~V0[i-1] & ~V1[i-1] & ~V1[i]) | (V0[i+1] & V0[i] & ~DL[i+1] & ~V0[i-1] & ~V1[i+1]) | (V0[i+1] & V0[i-1] & V0[i] & V1[i-1] & ~V1[i+1] & ~V1[i]) | (V0[i+1] & ~DL[i+1] & ~DL[i-1] & ~V0[i-1] & ~V1[i+1]) | (V0[i+1] & ~DL[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1]) | (V0[i+1] & ~DL[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i]) | (V0[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i-1] & ~V1[i]) | (V0[i+1] & V0[i] & ~DL[i+1] & ~DL[i-1] & ~V1[i+1] & ~V1[i]) | (V0[i+1] & V0[i] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1] & ~V1[i])
51,(DL[i] & V0[i-1] & V1[i-1] & V1[i] & ~V0[i]) | (DL[i+1] & DL[i] & V1[i] & ~V0[i-1] & ~V0[i] & ~V1[i-1]) | (DL[i] & V1[i+1] & V1[i] & ~DL[i+1] & ~V0[i+1] & ~V0[i]) | (DL[i+1] & V0[i+1] & V0[i-1] & V1[i-1] & V1[i] & ~V0[i] & ~V1[i+1]) | (V1[i+1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i+1] & ~V0[i]) | (V0[i-1] & V1[i+1] & V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i+1] & ~V0[i]) | (DL[i+1] & V0[i+1] & V1[i] & ~V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1]) | (V1[i+1] & V1[i] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1]) | (DL[i+1] & DL[i] & V0[i+1] & V1[i] & ~DL[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i+1])
52,(~DL[i] & ~V0[i]) | (~DL[i] & ~V1[i]) | (DL[i-1] & DL[i] & V0[i-1] & ~V1[i-1]) | (DL[i] & V0[i+1] & V0[i-1] & ~V1[i-1]) | (DL[i] & V0[i-1] & V1[i+1] & ~V1[i-1]) | (DL[i] & V0[i-1] & ~DL[i+1] & ~V1[i-1]) | (V0[i-1] & V1[i] & ~V0[i] & ~V1[i-1]) | (V1[i+1] & ~DL[i+1] & ~V0[i+1] & ~V0[i]) | (DL[i-1] & V0[i-1] & ~DL[i+1] & ~V1[i+1] & ~V1[i-1]) | (V0[i-1] & V1[i+1] & ~DL[i+1] & ~V0[i+1] & ~V1[i-1]) | (V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i-1] & ~V0[i]) | (DL[i] & V1[i+1] & V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i+1]) | (DL[i] & V1[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1]) | (V0[i+1] & V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i] & ~V1[i+1]) | (DL[i-1] & V1[i+1] & V1[i-1] & V1[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i])
53,(DL[i] & V0[i] & V1[i-1] & ~DL[i+1] & ~V0[i-1] & ~V1[i]) | (DL[i] & V0[i] & V1[i-1] & ~DL[i-1] & ~V0[i-1] & ~V1[i]) | (DL[i] & V0[i+1] & V0[i] & V1[i-1] & ~DL[i+1] & ~V0[i-1] & ~V1[i+1]) | (DL[i] & V0[i+1] & V0[i] & V1[i-1] & ~DL[i+1] & ~V1[i+1] & ~V1[i]) | (DL[i] & V0[i+1] & V0[i] & V1[i-1] & ~V0[i-1] & ~V1[i+1] & ~V1[i]) | (DL[i] & V0[i] & V1[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i+1] & ~V1[i]) | (DL[i] & V0[i+1] & V0[i] & ~DL[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i]) | (DL[i] & V0[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i]) | (DL[i] & V0[i] & V1[i+1] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V1[i]) | (DL[i] & V1[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V1[i]) | (DL[i] & V0[i] & V1[i+1] & V1[i-1] & ~DL[i+1] & ~DL[i-1] & ~V0[i+1] & ~V0[i-1]) | (V0[i+1] & V0[i] & V1[i-1] & ~DL[i+1] & ~DL[i-1] & ~V0[i-1] & ~V1[i+1] & ~V1[i]) | (V0[i+1] & V1[i-1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i-1] & ~V0[i] & ~V1[i+1])
54,(V1[i] & ~V0[i]) | (V0[i+1] & V0[i-1] & V1[i-1] & ~DL[i+1]) | (V0[i+1] & V0[i] & ~DL[i+1] & ~V1[i]) | (V0[i-1] & V1[i-1] & ~DL[i+1] & ~V1[i+1]) | (V0[i+1] & V0[i-1] & V0[i] & V1[i-1] & ~V1[i]) | (V0[i+1] & ~DL[i+1] & ~DL[i-1] & ~V1[i+1]) | (V0[i+1] & ~DL[i+1] & ~V0[i-1] & ~V1[i-1]) | (V0[i] & ~DL[i+1] & ~V1[i+1] & ~V1[i]) | (DL[i] & V0[i+1] & V0[i] & ~V1[i+1] & ~V1[i]) | (V0[i-1] & V0[i] & V1[i-1] & ~DL[i+1] & ~V1[i]) | (~DL[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1]) | (DL[i] & V0[i+1] & ~DL[i+1] & ~DL[i-1] & ~V0[i]) | (DL[i] & V0[i] & ~DL[i+1] & ~DL[i-1] & ~V1[i]) | (V0[i+1] & V0[i] & ~DL[i-1] & ~V1[i+1] & ~V1[i]) | (V0[i+1] & V0[i] & ~V0[i-1] & ~V1[i-1] & ~V1[i]) | (V0[i] & ~DL[i+1] & ~V0[i-1] & ~V1[i-1] & ~V1[i]) | (DL[i] & V0[i+1] & V0[i-1] & V1[i-1] & ~DL[i-1] & ~V0[i] & ~V1[i+1]) | (DL[i] & V0[i] & V1[i+1] & ~DL[i-1] & ~V0[i-1] & ~V1[i-1] & ~V1[i]) | (DL[i] & V0[i+1] & ~DL[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1])
55,(DL[i+1] & V0[i-1] & V1[i+1] & V1[i] & ~V0[i+1] & ~V0[i] & ~V1[i-1]) | (DL[i+1] & V1[i+1] & V1[i-1] & V1[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i]) | (V0[i+1] & V0[i-1] & V1[i] & ~DL[i+1] & ~V0[i] & ~V1[i+1] & ~V1[i-1]) | (V0[i+1] & V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i+1]) | (DL[i-1] & DL[i] & V0[i+1] & V0[i-1] & V1[i] & ~V0[i] & ~V1[i+1] & ~V1[i-1])
56,(DL[i] & V0[i-1] & V1[i-1] & ~DL[i+1] & ~V0[i+1]) | (DL[i] & V0[i-1] & V1[i-1] & ~DL[i+1] & ~V1[i+1]) | (V0[i-1] & V0[i] & V1[i-1] & ~DL[i+1] & ~V0[i+1]) | (V0[i-1] & V0[i] & V1[i-1] & ~DL[i+1] & ~V1[i+1]) | (~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V1[i-1]) | (~DL[i+1] & ~V0[i+1] & ~V0[i] & ~V1[i]) | (~DL[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1]) | (~DL[i+1] & ~V0[i] & ~V1[i+1] & ~V1[i]) | (V0[i-1] & V1[i-1] & ~DL[i+1] & ~DL[i-1] & ~V0[i+1]) | (V0[i-1] & V1[i-1] & ~DL[i+1] & ~DL[i-1] & ~V1[i+1]) | (V0[i-1] & V1[i-1] & ~DL[i+1] & ~V0[i+1] & ~V1[i+1]) | (V0[i-1] & V1[i-1] & ~DL[i+1] & ~V0[i] & ~V1[i]) | (V0[i-1] & V1[i-1] & ~V0[i+1] & ~V0[i] & ~V1[i]) | (V0[i-1] & V1[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i]) | (~DL[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (~V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (V0[i] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i+1] & ~V0[i-1]) | (V0[i] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i-1] & ~V1[i+1]) | (DL[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i+1] & ~V0[i-1] & ~V0[i]) | (DL[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i+1]) | (V1[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i+1] & ~V0[i] & ~V1[i]) | (DL[i] & V0[i] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i+1] & ~V1[i+1]) | (~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i-1] & ~V0[i] & ~V1[i])
57,(V0[i-1] & V0[i] & V1[i-1] & ~DL[i+1]) | (V0[i-1] & V1[i-1] & ~DL[i+1] & ~DL[i]) | (DL[i-1] & V0[i-1] & V1[i-1] & ~DL[i+1] & ~V1[i+1]) | (V0[i-1] & V1[i-1] & V1[i] & ~DL[i+1] & ~V1[i+1]) | (V0[i-1] & V1[i-1] & ~DL[i+1] & ~V0[i+1] & ~V1[i+1]) | (DL[i-1] & V0[i-1] & V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i+1]) | (DL[i-1] & V0[i-1] & V1[i-1] & V1[i] & ~DL[i] & ~V0[i]) | (DL[i-1] & DL[i] & V0[i+1] & V0[i-1] & V0[i] & V1[i-1] & V1[i] & ~V1[i+1]) | (DL[i-1] & V0[i+1] & V0[i-1] & V1[i-1] & ~DL[i] & ~V1[i+1] & ~V1[i]) | (DL[i] & V0[i] & V1[i-1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V1[i+1]) | (V0[i+1] & V0[i-1] & V1[i-1] & V1[i] & ~DL[i] & ~V0[i] & ~V1[i+1]) | (V1[i] & ~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i] & ~V1[i+1]) | (V0[i] & V1[i-1] & ~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V1[i+1] & ~V1[i]) | (V1[i-1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i+1] & ~V0[i]) | (V1[i-1] & ~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i+1] & ~V0[i] & ~V1[i+1]) | (V0[i-1] & V0[i] & ~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i+1] & ~V1[i+1] & ~V1[i])
58,(V0[i-1] & V1[i+1] & V1[i] & ~DL[i+1] & ~V0[i+1] & ~V0[i] & ~V1[i-1]) | (V1[i+1] & V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V0[i]) | (DL[i-1] & DL[i] & V0[i-1] & V1[i+1] & V1[i] & ~DL[i+1] & ~V0[i+1] & ~V1[i-1])
59,(DL[i] & V1[i]) | (V0[i-1] & V1[i+1] & ~DL[i+1] & ~DL[i]) | (V0[i-1] & ~DL[i+1] & ~DL[i] & ~V0[i+1]) | (V1[i+1] & ~DL[i+1] & ~DL[i] & ~V1[i-1]) | (V0[i+1] & V0[i] & V1[i+1] & ~DL[i+1] & ~V1[i-1]) | (~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V1[i-1]) | (DL[i-1] & V0[i] & ~DL[i+1] & ~V0[i+1] & ~V1[i-1]) | (V0[i-1] & V0[i] & ~DL[i+1] & ~V0[i+1] & ~V1[i-1]) | (DL[i-1] & V0[i+1] & V0[i-1] & V1[i+1] & ~DL[i+1] & ~V1[i-1]) | (V0[i] & ~DL[i+1] & ~V0[i+1] & ~V1[i+1] & ~V1[i-1]) | (DL[i-1] & V0[i-1] & ~DL[i+1] & ~DL[i] & ~V0[i] & ~V1[i-1]) | (DL[i-1] & V0[i-1] & ~DL[i+1] & ~DL[i] & ~V1[i-1] & ~V1[i]) | (DL[i-1] & V0[i-1] & ~DL[i+1] & ~V0[i+1] & ~V1[i+1] & ~V1[i-1]) | (DL[i-1] & V0[i+1] & V0[i-1] & V1[i+1] & ~DL[i] & ~V0[i] & ~V1[i-1]) | (DL[i-1] & V0[i+1] & V0[i-1] & V1[i+1] & ~DL[i] & ~V1[i-1] & ~V1[i]) | (DL[i-1] & V0[i-1] & ~DL[i] & ~V0[i+1] & ~V0[i] & ~V1[i+1] & ~V1[i-1]) | (DL[i-1] & V0[i-1] & ~DL[i] & ~V0[i+1] & ~V1[i+1] & ~V1[i-1] & ~V1[i])
60,(V0[i-1] & V1[i-1] & ~DL[i+1]) | (V0[i] & V1[i] & ~DL[i]) | (~DL[i+1] & ~V0[i-1] & ~V1[i-1]) | (~DL[i] & ~V0[i] & ~V1[i]) | (V0[i] & V1[i+1] & ~DL[i+1] & ~DL[i-1]) | (V0[i+1] & ~DL[i+1] & ~DL[i-1] & ~V1[i+1]) | (V0[i] & ~DL[i+1] & ~DL[i-1] & ~V1[i]) | (V1[i+1] & ~DL[i+1] & ~DL[i-1] & ~V0[i+1]) | (DL[i] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i]) | (V1[i+1] & ~DL[i+1] & ~DL[i-1] & ~V1[i-1] & ~V1[i]) | (DL[i] & V0[i+1] & V1[i] & ~DL[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i-1]) | (DL[i] & V0[i+1] & V0[i-1] & V1[i-1] & V1[i] & ~DL[i-1] & ~V0[i] & ~V1[i+1])
